source_path,category,proposed_action,target,owner_role,closure_condition,status
.githooks/README.md,repository-guidance,REWRITE,"docs/guides/, docs/reference/ or role-specific entry point",DX/documentation,Content reviewed; destination and links verified,planned; per-file content review pending
.kiro/steering/product.md,agent-guidance,REWRITE,Authoritative AGENTS.md with scoped guides,Architecture/DX,No stale overrides; rules and guards aligned; no CLAUDE.md references remain,planned; per-file content review pending
.kiro/steering/structure.md,agent-guidance,REWRITE,Authoritative AGENTS.md with scoped guides,Architecture/DX,No stale overrides; rules and guards aligned; no CLAUDE.md references remain,planned; per-file content review pending
.kiro/steering/tech.md,agent-guidance,REWRITE,Authoritative AGENTS.md with scoped guides,Architecture/DX,No stale overrides; rules and guards aligned; no CLAUDE.md references remain,planned; per-file content review pending
AGENTS.md,agent-guidance,REWRITE,Authoritative AGENTS.md with scoped guides,Architecture/DX,No stale overrides; rules and guards aligned; no CLAUDE.md references remain,planned; per-file content review pending
CHANGELOG.md,governance,RETAIN_REVIEW,CHANGELOG.md,Release/legal,Preserve notices and history; verify active policy,planned; per-file content review pending
CLAUDE.md,agent-guidance,SUPERSEDE,Root AGENTS.md,Architecture/DX,All applicable guidance consolidated; references and delegation removed; file deleted,planned; per-file content review pending
CONTRIBUTING.md,repository-guidance,REWRITE,"docs/guides/, docs/reference/ or role-specific entry point",DX/documentation,Content reviewed; destination and links verified,planned; per-file content review pending
README.md,repository-guidance,REWRITE,"docs/guides/, docs/reference/ or role-specific entry point",DX/documentation,Content reviewed; destination and links verified,planned; per-file content review pending
RELEASING.md,repository-guidance,REWRITE,"docs/guides/, docs/reference/ or role-specific entry point",DX/documentation,Content reviewed; destination and links verified,planned; per-file content review pending
agent/README.md,repository-guidance,REWRITE,"docs/guides/, docs/reference/ or role-specific entry point",DX/documentation,Content reviewed; destination and links verified,planned; per-file content review pending
agent/agents/integral/integral_agent/actions/integral/embedded_integral_action/SKILL.md,runtime-or-development-skill,REAUTHOR_RUNTIME,Runtime skill set or contributor guidance,Intelligence/DX,Classify runtime versus development skill; contract and packaging tests pass,planned; per-file content review pending
agent/agents/integral/integral_agent/actions/integral/embedded_integral_action/skills/integral_artifacts/SKILL.md,runtime-or-development-skill,REAUTHOR_RUNTIME,Runtime skill set or contributor guidance,Intelligence/DX,Classify runtime versus development skill; contract and packaging tests pass,planned; per-file content review pending
agent/agents/integral/integral_agent/actions/integral/embedded_integral_action/skills/integral_attachments/SKILL.md,runtime-or-development-skill,REAUTHOR_RUNTIME,Runtime skill set or contributor guidance,Intelligence/DX,Classify runtime versus development skill; contract and packaging tests pass,planned; per-file content review pending
agent/agents/integral/integral_agent/actions/integral/embedded_integral_action/skills/integral_dashboards/SKILL.md,runtime-or-development-skill,REAUTHOR_RUNTIME,Runtime skill set or contributor guidance,Intelligence/DX,Classify runtime versus development skill; contract and packaging tests pass,planned; per-file content review pending
agent/agents/integral/integral_agent/actions/integral/embedded_integral_action/skills/integral_entries/SKILL.md,runtime-or-development-skill,REAUTHOR_RUNTIME,Runtime skill set or contributor guidance,Intelligence/DX,Classify runtime versus development skill; contract and packaging tests pass,planned; per-file content review pending
agent/agents/integral/integral_agent/actions/integral/embedded_integral_action/skills/integral_filing/SKILL.md,runtime-or-development-skill,REAUTHOR_RUNTIME,Runtime skill set or contributor guidance,Intelligence/DX,Classify runtime versus development skill; contract and packaging tests pass,planned; per-file content review pending
agent/agents/integral/integral_agent/actions/integral/embedded_integral_action/skills/integral_identity/SKILL.md,runtime-or-development-skill,REAUTHOR_RUNTIME,Runtime skill set or contributor guidance,Intelligence/DX,Classify runtime versus development skill; contract and packaging tests pass,planned; per-file content review pending
agent/agents/integral/integral_agent/actions/integral/embedded_integral_action/skills/integral_insights/SKILL.md,runtime-or-development-skill,REAUTHOR_RUNTIME,Runtime skill set or contributor guidance,Intelligence/DX,Classify runtime versus development skill; contract and packaging tests pass,planned; per-file content review pending
agent/agents/integral/integral_agent/actions/integral/embedded_integral_action/skills/integral_model/SKILL.md,runtime-or-development-skill,REAUTHOR_RUNTIME,Runtime skill set or contributor guidance,Intelligence/DX,Classify runtime versus development skill; contract and packaging tests pass,planned; per-file content review pending
agent/agents/integral/integral_agent/actions/integral/embedded_integral_action/skills/integral_navigation/SKILL.md,runtime-or-development-skill,REAUTHOR_RUNTIME,Runtime skill set or contributor guidance,Intelligence/DX,Classify runtime versus development skill; contract and packaging tests pass,planned; per-file content review pending
agent/agents/integral/integral_agent/actions/integral/embedded_integral_action/skills/integral_onboard/SKILL.md,runtime-or-development-skill,REAUTHOR_RUNTIME,Runtime skill set or contributor guidance,Intelligence/DX,Classify runtime versus development skill; contract and packaging tests pass,planned; per-file content review pending
agent/agents/integral/integral_agent/actions/integral/embedded_integral_action/skills/integral_organize/SKILL.md,runtime-or-development-skill,REAUTHOR_RUNTIME,Runtime skill set or contributor guidance,Intelligence/DX,Classify runtime versus development skill; contract and packaging tests pass,planned; per-file content review pending
agent/agents/integral/integral_agent/actions/integral/embedded_integral_action/skills/integral_models/SKILL.md,runtime-or-development-skill,REAUTHOR_RUNTIME,Runtime skill set or contributor guidance,Intelligence/DX,Classify runtime versus development skill; contract and packaging tests pass,planned; per-file content review pending
agent/agents/integral/integral_agent/actions/integral/embedded_integral_action/skills/integral_review/SKILL.md,runtime-or-development-skill,REAUTHOR_RUNTIME,Runtime skill set or contributor guidance,Intelligence/DX,Classify runtime versus development skill; contract and packaging tests pass,planned; per-file content review pending
agent/agents/integral/integral_agent/actions/integral/embedded_integral_action/skills/integral_scaffold/SKILL.md,runtime-or-development-skill,REAUTHOR_RUNTIME,Runtime skill set or contributor guidance,Intelligence/DX,Classify runtime versus development skill; contract and packaging tests pass,planned; per-file content review pending
agent/agents/integral/integral_agent/actions/integral/embedded_integral_action/skills/integral_scheduling/SKILL.md,runtime-or-development-skill,REAUTHOR_RUNTIME,Runtime skill set or contributor guidance,Intelligence/DX,Classify runtime versus development skill; contract and packaging tests pass,planned; per-file content review pending
agent/agents/integral/integral_agent/actions/integral/embedded_integral_action/skills/integral_workspace/SKILL.md,runtime-or-development-skill,REAUTHOR_RUNTIME,Runtime skill set or contributor guidance,Intelligence/DX,Classify runtime versus development skill; contract and packaging tests pass,planned; per-file content review pending
backend/README.md,repository-guidance,REWRITE,"docs/guides/, docs/reference/ or role-specific entry point",DX/documentation,Content reviewed; destination and links verified,planned; per-file content review pending
backend/app/agentive/CLAUDE.md,agent-guidance,SUPERSEDE,backend/app/agentive/AGENTS.md or root AGENTS.md,Architecture/DX,All applicable guidance consolidated; references and delegation removed; file deleted,planned; per-file content review pending
backend/app/views/README.md,repository-guidance,REWRITE,"docs/guides/, docs/reference/ or role-specific entry point",DX/documentation,Content reviewed; destination and links verified,planned; per-file content review pending
docs/INVARIANTS.md,invariants,REWRITE,docs/architecture/invariants.md,Architecture,Every invariant mapped to retained/revised/retired rule and enforcement,planned; per-file content review pending
docs/README.md,repository-guidance,REWRITE,"docs/guides/, docs/reference/ or role-specific entry point",DX/documentation,Content reviewed; destination and links verified,planned; per-file content review pending
docs/archive/OPERATIONAL_MODEL-legacy.md,planning-history,SUPERSEDE,docs/roadmap/ and docs/history/README.md,Architecture/product,Unique requirements retained; obsolete directives removed,planned; per-file content review pending
docs/archive/README.md,planning-history,SUPERSEDE,docs/roadmap/ and docs/history/README.md,Architecture/product,Unique requirements retained; obsolete directives removed,planned; per-file content review pending
docs/assessments/2026-09-19-agent-experience-remediation.md,assessment-evidence,EVIDENCE_TO_TESTS,docs/quality/acceptance-ledger.md,Quality,Findings mapped to regressions and qualification evidence,planned; per-file content review pending
docs/assessments/2026-09-19-chat-flow-review.md,assessment-evidence,EVIDENCE_TO_TESTS,docs/quality/acceptance-ledger.md,Quality,Findings mapped to regressions and qualification evidence,planned; per-file content review pending
docs/assessments/2026-09-19-core-finish-line.md,assessment-evidence,EVIDENCE_TO_TESTS,docs/quality/acceptance-ledger.md,Quality,Findings mapped to regressions and qualification evidence,planned; per-file content review pending
docs/backend/HANDOFF-claude-code-streamline.md,planning-history,SUPERSEDE,docs/roadmap/ and docs/history/README.md,Architecture/product,Unique requirements retained; obsolete directives removed,planned; per-file content review pending
docs/backend/adr/001-model-credentials-byok.md,decision-history,SUPERSEDE,docs/architecture/decisions/ and docs/history/README.md,Architecture,Successor or retained decision mapped explicitly,planned; per-file content review pending
docs/backend/adr/002-contributed-skill-safeguard.md,decision-history,SUPERSEDE,docs/architecture/decisions/ and docs/history/README.md,Architecture,Successor or retained decision mapped explicitly,planned; per-file content review pending
docs/backend/adr/003-singular-resident-harness.md,decision-history,SUPERSEDE,docs/architecture/decisions/ and docs/history/README.md,Architecture,Successor or retained decision mapped explicitly,planned; per-file content review pending
docs/backend/adr/004-app-composition-domain-apps-capability-bundles-scheduled-skills.md,decision-history,SUPERSEDE,docs/architecture/decisions/ and docs/history/README.md,Architecture,Successor or retained decision mapped explicitly,planned; per-file content review pending
docs/backend/adr/004-single-worker-until-shared-turn-state.md,decision-history,SUPERSEDE,docs/architecture/decisions/ and docs/history/README.md,Architecture,Successor or retained decision mapped explicitly,planned; per-file content review pending
docs/backend/adr/005-single-worker-until-shared-turn-state.md,decision-history,SUPERSEDE,docs/architecture/decisions/ and docs/history/README.md,Architecture,Successor or retained decision mapped explicitly,planned; per-file content review pending
docs/backend/adr/006-personal-context-stream-unstaged.md,decision-history,SUPERSEDE,docs/architecture/decisions/ and docs/history/README.md,Architecture,Successor or retained decision mapped explicitly,planned; per-file content review pending
docs/backend/adr/007-decision-ledger-from-staging-terminals.md,decision-history,SUPERSEDE,docs/architecture/decisions/ and docs/history/README.md,Architecture,Successor or retained decision mapped explicitly,planned; per-file content review pending
docs/backend/adr/008-toolcontext-own-workspace-writes.md,decision-history,SUPERSEDE,docs/architecture/decisions/ and docs/history/README.md,Architecture,Successor or retained decision mapped explicitly,planned; per-file content review pending
docs/backend/adr/009-mcp-as-connector.md,decision-history,SUPERSEDE,docs/architecture/decisions/ and docs/history/README.md,Architecture,Successor or retained decision mapped explicitly,planned; per-file content review pending
docs/backend/adr/010-connector-subsystem-architecture.md,decision-history,SUPERSEDE,docs/architecture/decisions/ and docs/history/README.md,Architecture,Successor or retained decision mapped explicitly,planned; per-file content review pending
docs/backend/adr/011-public-app-extension-platform.md,decision-history,SUPERSEDE,docs/architecture/decisions/ and docs/history/README.md,Architecture,Successor or retained decision mapped explicitly,planned; per-file content review pending
docs/backend/adr/012-intrinsic-agentive-queryability.md,decision-history,SUPERSEDE,docs/architecture/decisions/ and docs/history/README.md,Architecture,Successor or retained decision mapped explicitly,planned; per-file content review pending
docs/backend/ai-chat.md,contracts-and-implementation,REWRITE,docs/contracts/ and docs/architecture/modules/,Module owners,Public semantics and guarantees reflect executable contracts,planned; per-file content review pending
docs/backend/app-bundle-authoring.md,contracts-and-implementation,REWRITE,docs/contracts/ and docs/architecture/modules/,Module owners,Public semantics and guarantees reflect executable contracts,planned; per-file content review pending
docs/backend/app-bundles-v1.md,contracts-and-implementation,REWRITE,docs/contracts/ and docs/architecture/modules/,Module owners,Public semantics and guarantees reflect executable contracts,planned; per-file content review pending
docs/backend/attachment-agent-contract.md,contracts-and-implementation,REWRITE,docs/contracts/ and docs/architecture/modules/,Module owners,Public semantics and guarantees reflect executable contracts,planned; per-file content review pending
docs/backend/connectors.md,contracts-and-implementation,REWRITE,docs/contracts/ and docs/architecture/modules/,Module owners,Public semantics and guarantees reflect executable contracts,planned; per-file content review pending
docs/backend/consulting-lifecycle-demo.md,contracts-and-implementation,REWRITE,docs/contracts/ and docs/architecture/modules/,Module owners,Public semantics and guarantees reflect executable contracts,planned; per-file content review pending
docs/backend/operational-model-authoring-and-library.md,contracts-and-implementation,REWRITE,docs/contracts/ and docs/architecture/modules/,Module owners,Public semantics and guarantees reflect executable contracts,planned; per-file content review pending
docs/backend/operational-model-packages.md,contracts-and-implementation,REWRITE,docs/contracts/ and docs/architecture/modules/,Module owners,Public semantics and guarantees reflect executable contracts,planned; per-file content review pending
docs/backend/operational-model-search-index.md,contracts-and-implementation,REWRITE,docs/contracts/ and docs/architecture/modules/,Module owners,Public semantics and guarantees reflect executable contracts,planned; per-file content review pending
docs/backend/conversation-use-cases.md,contracts-and-implementation,REWRITE,docs/contracts/ and docs/architecture/modules/,Module owners,Public semantics and guarantees reflect executable contracts,planned; per-file content review pending
docs/backend/model-credentials-byok.md,contracts-and-implementation,REWRITE,docs/contracts/ and docs/architecture/modules/,Module owners,Public semantics and guarantees reflect executable contracts,planned; per-file content review pending
docs/backend/payroll-apps-design.md,contracts-and-implementation,REWRITE,docs/contracts/ and docs/architecture/modules/,Module owners,Public semantics and guarantees reflect executable contracts,planned; per-file content review pending
docs/backend/phase4-parity-triage.md,contracts-and-implementation,REWRITE,docs/contracts/ and docs/architecture/modules/,Module owners,Public semantics and guarantees reflect executable contracts,planned; per-file content review pending
docs/backend/security-review-model-credentials.md,contracts-and-implementation,REWRITE,docs/contracts/ and docs/architecture/modules/,Module owners,Public semantics and guarantees reflect executable contracts,planned; per-file content review pending
docs/backend/seeded-apps/content-factory.md,contracts-and-implementation,REWRITE,docs/contracts/ and docs/architecture/modules/,Module owners,Public semantics and guarantees reflect executable contracts,planned; per-file content review pending
docs/backend/service-layer-drain-plan.md,planning-history,SUPERSEDE,docs/roadmap/ and docs/history/README.md,Architecture/product,Unique requirements retained; obsolete directives removed,planned; per-file content review pending
docs/backend/service-layer.md,contracts-and-implementation,REWRITE,docs/contracts/ and docs/architecture/modules/,Module owners,Public semantics and guarantees reflect executable contracts,planned; per-file content review pending
docs/backend/skill-bundle-audit.md,contracts-and-implementation,REWRITE,docs/contracts/ and docs/architecture/modules/,Module owners,Public semantics and guarantees reflect executable contracts,planned; per-file content review pending
docs/backend/skill-format-standard.md,contracts-and-implementation,REWRITE,docs/contracts/ and docs/architecture/modules/,Module owners,Public semantics and guarantees reflect executable contracts,planned; per-file content review pending
docs/backend/speech-input.md,contracts-and-implementation,REWRITE,docs/contracts/ and docs/architecture/modules/,Module owners,Public semantics and guarantees reflect executable contracts,planned; per-file content review pending
docs/backend/streamline-consolidation-plan.md,planning-history,SUPERSEDE,docs/roadmap/ and docs/history/README.md,Architecture/product,Unique requirements retained; obsolete directives removed,planned; per-file content review pending
docs/backend/workspace-agent-profile.md,contracts-and-implementation,REWRITE,docs/contracts/ and docs/architecture/modules/,Module owners,Public semantics and guarantees reflect executable contracts,planned; per-file content review pending
docs/operational-models/AGENT_CONTRACT.md,contracts-and-implementation,REWRITE,docs/contracts/ and docs/architecture/modules/,Module owners,Public semantics and guarantees reflect executable contracts,planned; per-file content review pending
docs/operational-models/COMPOSITES.md,contracts-and-implementation,REWRITE,docs/contracts/ and docs/architecture/modules/,Module owners,Public semantics and guarantees reflect executable contracts,planned; per-file content review pending
docs/operational-models/COMPOSITION_PATTERNS.md,contracts-and-implementation,REWRITE,docs/contracts/ and docs/architecture/modules/,Module owners,Public semantics and guarantees reflect executable contracts,planned; per-file content review pending
docs/operational-models/DRAFT_PUBLISH.md,contracts-and-implementation,REWRITE,docs/contracts/ and docs/architecture/modules/,Module owners,Public semantics and guarantees reflect executable contracts,planned; per-file content review pending
docs/operational-models/META_WIDGETS.md,contracts-and-implementation,REWRITE,docs/contracts/ and docs/architecture/modules/,Module owners,Public semantics and guarantees reflect executable contracts,planned; per-file content review pending
docs/operational-models/MIGRATIONS.md,contracts-and-implementation,REWRITE,docs/contracts/ and docs/architecture/modules/,Module owners,Public semantics and guarantees reflect executable contracts,planned; per-file content review pending
docs/operational-models/PLUGINS.md,contracts-and-implementation,REWRITE,docs/contracts/ and docs/architecture/modules/,Module owners,Public semantics and guarantees reflect executable contracts,planned; per-file content review pending
docs/operational-models/README.md,contracts-and-implementation,REWRITE,docs/contracts/ and docs/architecture/modules/,Module owners,Public semantics and guarantees reflect executable contracts,planned; per-file content review pending
docs/operational-models/REGION_SYSTEM.md,contracts-and-implementation,REWRITE,docs/contracts/ and docs/architecture/modules/,Module owners,Public semantics and guarantees reflect executable contracts,planned; per-file content review pending
docs/operational-models/UI_COMPLEMENTS.md,contracts-and-implementation,REWRITE,docs/contracts/ and docs/architecture/modules/,Module owners,Public semantics and guarantees reflect executable contracts,planned; per-file content review pending
docs/operational-models/UI_COMPONENTS_GUIDE.md,contracts-and-implementation,REWRITE,docs/contracts/ and docs/architecture/modules/,Module owners,Public semantics and guarantees reflect executable contracts,planned; per-file content review pending
docs/operational-models/UI_PACKS.md,contracts-and-implementation,REWRITE,docs/contracts/ and docs/architecture/modules/,Module owners,Public semantics and guarantees reflect executable contracts,planned; per-file content review pending
